"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","auc_voc","avg_voc","norm_avg_voc","norm_auc_voc","LMA","SLA"
"1","ARTCAL",1,2022-08-03,17.98,17.541,0.506179443146308,0.493820556853692,195.064377682402,0.238,0.549999999999999,0.186400000000001,153.10344827586,1.372,0.367000000000001,0.145000000000001,176.704888352442,0.520657013,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"2","ARTCAL",10,2022-08-30,17.539,17.294,0.503516780064881,0.496483219935119,148.704663212436,0.114,0.336,0.1351,99.8123827392124,0.916,0.213000000000001,0.1066,127.141083988416,0.2662089832,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"3","ARTCAL",2,2022-08-03,18.921,18.395,0.507047915103441,0.492952084896559,120.050046918986,0.206,1.407,0.6394,111.832061068703,1.316,0.444000000000001,0.2096,118.021201413428,0.1771399094,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"4","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,103.168685927307,0.213333333333333,1.09,0.5365,93.3445661331077,1.4475,0.459,0.237400000000001,100.155058793126,0.1274513304,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"5","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,164.998605975326,0.204285714285714,0.841428571428573,0.336214285714286,121.345850842544,1.21,0.392333333333333,0.178733333333333,139.589787218302,0.1645264628,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"6","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,156.678281068526,0.184,0.441999999999999,0.172199999999999,114.631197097945,1.804,0.710000000000001,0.3308,129.025844930418,0.2291490208,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"7","ARTCAL",6,2022-08-03,18.575,17.712,0.511891310937801,0.488108689062199,188.929219600727,0.094,0.795999999999999,0.275499999999999,123.684210526316,1.429,0.561,0.2508,157.837735132054,0.5378439012,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"8","ARTCAL",7,2022-08-25,18.281,17.715,0.507861984664963,0.492138015335037,133.451727478204,0.15,0.723000000000001,0.309700000000001,147.679531021005,1.48,0.507,0.204700000000001,139.113530326593,0.1837989832,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"9","ARTCAL",8,2022-08-25,18.135,17.615,0.507272727272727,0.492727272727273,129.196050775741,0.236,0.65,0.2836,118.413320274241,1.347,0.446,0.2042,124.682246822468,0.213093926,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"10","ARTCAL",9,2022-08-25,17.644,17.25,0.505645669742649,0.494354330257351,134.389140271493,0.128,0.259,0.1105,153.979238754323,1.301,0.366999999999999,0.144500000000001,145.49019607843,0.2650282966,14441.125,929.09,11134.8274209012,173071.967881112,NA,NA
"11","CEAGRI",1,2022-07-20,20.522,19.283,0.515563371435749,0.484436628564251,95.3628166595106,0.37,0.454999999999998,0.232899999999999,100.997398091934,2.106,0.927,0.4612,99.1067569514479,4.636936357,6067.15,332.38,2394.32358449791,43705.1577582481,0.0981251337023685,10.1910689164836
"12","CEAGRI",2,2022-07-20,23.899,21.342,0.528259764373024,0.471740235626975,135.315578256112,0.324,0.645000000000001,0.274099999999999,103.350753150937,2.488,1.323,0.650600000000001,112.825781334487,5.6286401038,6067.15,332.38,2394.32358449791,43705.1577582481,0.114592510465281,8.72657380434107
"13","CEAGRI",3,2022-07-20,23.117,21.103,0.52277250113071,0.47722749886929,160.139860139861,0.364,0.930000000000001,0.3575,215.537017726799,2.455,1.513,0.4795,191.875746714457,7.4021426242,6067.15,332.38,2394.32358449791,43705.1577582481,0.125639297594663,7.95929314430106
"14","CEAGRI",4,2022-07-20,20.026,19.452,0.507269871827347,0.492730128172653,128.152492668622,0.24,0.389000000000001,0.170500000000001,147.121142330723,2.2,1.073,0.434200000000001,141.772779890855,3.176808932,6067.15,332.38,2394.32358449791,43705.1577582481,0.122449920132622,8.16660393830332
"15","CEAGRI",5,2022-10-04,22.033,19.49,0.530621583218939,0.469378416781061,73.5305877648946,0.134,0.434000000000001,0.2501,76.2930167035621,2.781,1.752,0.9938,75.7375994854893,4.7281413392,6067.15,332.38,2394.32358449791,43705.1577582481,0.091790826217863,10.8943348829493
"16","CEAGRI",6,2022-10-04,18.112,17.823,0.504021149297342,0.495978850702658,104.444444444444,0.212,0.183999999999999,0.0899999999999999,97.432762836186,2.313,0.969000000000001,0.4908,98.5192837465566,2.0541222474,6067.15,332.38,2394.32358449791,43705.1577582481,0.0895759735005532,11.1637078663044
"17","ERIKAR",1,2022-08-02,17.316,17.163,0.502218741842861,0.497781258157139,537.931034482666,0.126,0.036999999999999,0.00580000000000069,166.853932584263,0.749,0.0949999999999989,0.0356000000000005,218.84057971013,0.398693813,5252.35,305.39,12027.9637652619,206866.876723119,0.0928030453284186,10.7755084594597
"18","ERIKAR",10,2022-09-02,17.408,17.298,0.501584740390711,0.498415259609289,280.540540540544,0.12,0.352,0.0924999999999994,133.595800524935,0.555,0.0890000000000004,0.0381,237.672281776419,0.44049083,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"19","ERIKAR",2,2022-08-02,17.237,17.124,0.501644306044644,0.498355693955356,376.744186046484,0.15,0.0409999999999995,0.00860000000000039,313.12741312741,0.67,0.106999999999999,0.0259,328.985507246368,0.4758123674,5252.35,305.39,12027.9637652619,206866.876723119,0.0861684201779735,11.6051796926831
"20","ERIKAR",3,2022-08-02,17.269,17.158,0.501612106776658,0.498387893223342,-705.513784461154,0.25,0.048833333333334,0.00441666666666674,238.58267716534,0.608,0.0860000000000003,0.0254000000000012,352.207937395177,0.3238246098,5252.35,305.39,12027.9637652619,206866.876723119,0.150801797811149,6.63122067849821
"21","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,325.278219395867,0.22,0.535,0.1258,317.127071823214,0.688,0.151,0.0361999999999991,323.456790123459,0.5199202794,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"22","ERIKAR",5,2022-08-23,17.5,17.35,0.502152080344333,0.497847919655667,338.116100766702,0.202,0.4,0.0913000000000004,302.985074626872,0.603,0.108000000000001,0.0267999999999997,330.143945808637,0.4543189692,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"23","ERIKAR",6,2022-08-23,17.563,17.358,0.502935196586581,0.497064803413419,380.90692124105,0.162,0.403,0.0838000000000001,249.173553718999,0.854,0.168999999999999,0.0484000000000009,332.677760968226,0.6013239884,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"24","ERIKAR",7,2022-09-02,17.43,17.623,0.49724702593216,0.50275297406784,247.769028871392,0.11,0.265000000000001,0.0762,122.48803827751,0.543,0.093,0.0418000000000003,203.389830508474,0.4886006742,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"25","ERIKAR",8,2022-09-02,17.735,17.581,0.502180314871446,0.497819685128554,213.987231572838,0.126,0.541,0.1723,53.8461538461513,0.526,0.0839999999999996,0.0546000000000006,175.451740855002,0.7213787124,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"26","ERIKAR",9,2022-09-02,17.456,17.326,0.501868782703697,0.498131217296303,257.915437561452,0.196,0.364000000000001,0.101700000000001,181.767955801099,0.595,0.102,0.0362000000000009,237.926033357502,0.3416842868,5252.35,305.39,12027.9637652619,206866.876723119,0.109924421105847,9.67063627688034
"27","HETARB",1,2022-07-19,24.302,23.548,0.507878787878788,0.492121212121212,87.1657754010694,0.376,2.765,1.4773,74.212598425197,2.995,0.708,0.4064,84.3711843711843,13.937270971,16359.8,874.17,2444.41026788211,45746.3229125888,0.198388910264662,5.04060432947559
"28","HETARB",10,2022-08-31,19.002,24.53,0.4365064779932,0.5634935220068,143.358527276809,0.482,3.252,1.3363,81.9730941704036,3.895,2.029,1.115,115.4367070534,NA,16359.8,874.17,2444.41026788211,45746.3229125888,0.191241282834906,5.2748308125013
"29","HETARB",11,2022-08-31,17.689,21.255,0.454216310599836,0.545783689400164,98.1585818331727,0.406,1.442,0.7277,72.1804511278202,2.82,0.687000000000001,0.398999999999999,88.9589065412266,NA,16359.8,874.17,2444.41026788211,45746.3229125888,0.191241282834906,5.2748308125013
