,date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,end_time_clock_time,maxflameht_time_clock_time,firstigstart_time_clock_time,secondigstart_time_clock_time,firstigend_time_clock_time,secondigend_time_clock_time
0,2022-08-03,ARTCAL,P1,R1,SM,W,25.5,4.5,3.0,18.507,0.0,-2.3,,2023-04-13 10:18:36,2023-04-13 00:00:27,26.6,54.0,0,,M,2023-04-13 00:07:09,2023-04-13 00:07:11,,,,,2023-04-13 00:07:09,26,2023-04-13 00:08:08,,17.0,,2023-04-13 10:26:17,2023-04-13 10:25:18,2023-04-13 10:25:18,,2023-04-13 10:25:20,
1,2022-08-03,ARTCAL,P1,R2,SM,W,25.0,4.8,3.0,18.129,0.0,-1.6,,2023-04-13 10:29:00,2023-04-13 00:00:00,27.4,49.0,1,0:55,0,,,,,,,,,2023-04-13 00:07:25,,17.0,videos were started after plant was put in ,2023-04-13 10:36:25,,,,,
2,2022-08-03,ARTCAL,P1,R3,SM,W,25.0,7.1,5.0,18.33,1.0,-2.0,,2023-04-13 10:38:13,2023-04-13 00:00:12,27.6,47.0,1,0:54,0,,,,,,,,,2023-04-13 00:07:52,,17.0,,2023-04-13 10:45:53,,,,,
3,2022-08-03,ARTCAL,P1,R4,SM,W,25.0,3.7,2.2,18.219,0.0,-2.2,,2023-04-13 10:48:21,2023-04-13 00:00:18,28.1,46.0,1,1:50,0,,,,,,,,,2023-04-13 00:07:17,,17.0,,2023-04-13 10:55:20,,,,,
4,2022-08-03,ARTCAL,P1,R5,SM,W,21.5,4.8,2.3,17.75,0.0,-1.9,,2023-04-13 10:57:30,2023-04-13 00:00:00,28.5,44.0,1,1:08,0,,,,,,,,,2023-04-13 00:07:23,,17.0,videos were started after plant was put in ,2023-04-13 11:04:53,,,,,
5,2022-08-30,ARTCAL,P10,R1,AC,W,25.0,2.2,2.1,17.577,0.0,-2.8,,2023-04-13 09:56:37,2023-04-13 00:00:10,25.5,52.0,1,1:32,M,2023-04-13 00:07:34,2023-04-13 00:07:45,,,,,2023-04-13 00:07:41,11,2023-04-13 00:08:05,,15.0,,2023-04-13 10:04:32,2023-04-13 10:04:08,2023-04-13 10:04:01,,2023-04-13 10:04:12,
6,2022-08-30,ARTCAL,P10,R2,AC,W,25.0,2.7,1.6,17.517,0.0,-1.9,,2023-04-13 10:06:42,2023-04-13 00:00:19,26.0,51.0,1,0:42,M,2023-04-13 00:05:52,2023-04-13 00:06:05,,,,,2023-04-13 00:05:55,6,2023-04-13 00:10:05,,15.0,,2023-04-13 10:16:28,2023-04-13 10:12:18,2023-04-13 10:12:15,,2023-04-13 10:12:28,
7,2022-08-30,ARTCAL,P10,R3,AC,W,23.0,7,2.4,17.99,2.0,-1.7,,2023-04-13 10:18:02,2023-04-13 00:00:09,27.0,47.0,0,,1,2023-04-13 00:01:38,2023-04-13 00:01:47,,,,,2023-04-13 00:01:38,27,2023-04-13 00:07:50,,15.0,,2023-04-13 10:25:43,2023-04-13 10:19:31,2023-04-13 10:19:31,,2023-04-13 10:19:40,
8,2022-08-30,ARTCAL,P10,R4,AC,W,25.0,2.8,1.5,17.595,1.0,-2.3,,2023-04-13 10:27:42,2023-04-13 00:00:09,27.5,42.0,1,0:33,0,,,,,,,,,2023-04-13 00:08:04,,15.0,,2023-04-13 10:35:37,,,,,
9,2022-08-30,ARTCAL,P10,R5,AC,W,25.0,4.8,2.0,17.626,5.0,-1.9,,2023-04-13 10:36:56,2023-04-13 00:00:10,28.4,42.0,1,0:55,0,,,,,,,,,2023-04-13 00:05:11,,15.0,,2023-04-13 10:41:57,,,,,
10,2022-08-30,ARTCAL,P10,R6,AC,W,25.0,5,3.0,18.127,8.0,-1.7,,2023-04-13 10:43:31,2023-04-13 00:00:12,34.0,40.0,0,,1,2023-04-13 00:00:43,2023-04-13 00:00:45,,,,,2023-04-13 00:00:44,22,2023-04-13 00:10:15,,15.0,,2023-04-13 10:53:34,2023-04-13 10:44:03,2023-04-13 10:44:02,,2023-04-13 10:44:04,
11,2022-08-30,ARTCAL,P10,R7,AC,W,25.0,9,3.5,18.084,2.0,-1.9,,2023-04-13 10:55:00,2023-04-13 00:00:08,34.0,41.0,1,0:27,0,,,,,,,,,2023-04-13 00:13:26,,15.0,,2023-04-13 11:08:18,,,,,
