treatment,species,method,leaf_mass,time,VOC
WET,SALLEU,Control ,0.0704,0,18
WET,SALLEU,Control ,0.0704,1,177
WET,SALLEU,Control ,0.0704,2.5,153
WET,SALLEU,Control ,0.0704,5,142
WET,SALLEU,Control ,0.0704,7.5,154
WET,SALLEU,Control ,0.0704,10,181
WET,SALLEU,Control ,0.0728,0,314
WET,SALLEU,Control ,0.0728,1,697
WET,SALLEU,Control ,0.0728,2.5,688
WET,SALLEU,Control ,0.0728,5,643
WET,SALLEU,Control ,0.0728,7.5,619
WET,SALLEU,Control ,0.0728,10,572
WET,SALLEU,Control ,0.1552,0,866
WET,SALLEU,Control ,0.1552,1,1036
WET,SALLEU,Control ,0.1552,2.5,970
WET,SALLEU,Control ,0.1552,5,967
WET,SALLEU,Control ,0.1552,7.5,771
WET,SALLEU,Control ,0.1552,10,610
WET,SALLEU,Control ,0.1437,0,683
WET,SALLEU,Control ,0.1437,1,701
WET,SALLEU,Control ,0.1437,2.5,860
WET,SALLEU,Control ,0.1437,5,813
WET,SALLEU,Control ,0.1437,7.5,768
WET,SALLEU,Control ,0.1437,10,737
WET,SALLEU,Control ,0.1194,0,732
WET,SALLEU,Control ,0.1194,1,871
WET,SALLEU,Control ,0.1194,2.5,792
WET,SALLEU,Control ,0.1194,5,757
WET,SALLEU,Control ,0.1194,7.5,752
WET,SALLEU,Control ,0.1194,10,747
WET,SALLEU,Crushed ,0.0623,0,53270
WET,SALLEU,Crushed ,0.0623,1,44710
WET,SALLEU,Crushed ,0.0623,2.5,34580
WET,SALLEU,Crushed ,0.0623,5,43470
WET,SALLEU,Crushed ,0.0623,7.5,16080
WET,SALLEU,Crushed ,0.0623,10,9647
WET,SALLEU,Crushed ,0.1575,0,98710
WET,SALLEU,Crushed ,0.1575,1,81970
WET,SALLEU,Crushed ,0.1575,2.5,63140
WET,SALLEU,Crushed ,0.1575,5,41930
WET,SALLEU,Crushed ,0.1575,7.5,30790
WET,SALLEU,Crushed ,0.1575,10,26920
WET,SALLEU,Crushed ,0.0823,0,57820
WET,SALLEU,Crushed ,0.0823,1,59290
WET,SALLEU,Crushed ,0.0823,2.5,52280
WET,SALLEU,Crushed ,0.0823,5,42210
WET,SALLEU,Crushed ,0.0823,7.5,32520
WET,SALLEU,Crushed ,0.0823,10,16280
WET,SALLEU,Crushed ,0.1532,0,89380
WET,SALLEU,Crushed ,0.1532,1,73690
WET,SALLEU,Crushed ,0.1532,2.5,69370
WET,SALLEU,Crushed ,0.1532,5,58190
WET,SALLEU,Crushed ,0.1532,7.5,46850
WET,SALLEU,Crushed ,0.1532,10,32650
WET,SALLEU,Crushed ,0.1243,0,68754
WET,SALLEU,Crushed ,0.1243,1,74740
WET,SALLEU,Crushed ,0.1243,2.5,65860
WET,SALLEU,Crushed ,0.1243,5,45970
WET,SALLEU,Crushed ,0.1243,7.5,36720
WET,SALLEU,Crushed ,0.1243,10,25490
WET,SALAPI,Control ,0.0476,0,653
WET,SALAPI,Control ,0.0476,1,751
WET,SALAPI,Control ,0.0476,2.5,672
WET,SALAPI,Control ,0.0476,5,652
WET,SALAPI,Control ,0.0476,7.5,649
WET,SALAPI,Control ,0.0476,10,552
WET,SALAPI,Control ,0.1242,0,840
WET,SALAPI,Control ,0.1242,1,1157
WET,SALAPI,Control ,0.1242,2.5,980
WET,SALAPI,Control ,0.1242,5,764
WET,SALAPI,Control ,0.1242,7.5,602
WET,SALAPI,Control ,0.1242,10,562
WET,SALAPI,Control ,0.2052,0,400
WET,SALAPI,Control ,0.2052,1,602
WET,SALAPI,Control ,0.2052,2.5,562
WET,SALAPI,Control ,0.2052,5,507
WET,SALAPI,Control ,0.2052,7.5,485
WET,SALAPI,Control ,0.2052,10,498
WET,SALAPI,Control ,0.1321,0,837
WET,SALAPI,Control ,0.1321,1,1062
WET,SALAPI,Control ,0.1321,2.5,904
WET,SALAPI,Control ,0.1321,5,795
WET,SALAPI,Control ,0.1321,7.5,657
WET,SALAPI,Control ,0.1321,10,648
WET,SALAPI,Control ,0.1431,0,617
WET,SALAPI,Control ,0.1431,1,1035
WET,SALAPI,Control ,0.1431,2.5,858
WET,SALAPI,Control ,0.1431,5,681
WET,SALAPI,Control ,0.1431,7.5,657
WET,SALAPI,Control ,0.1431,10,601
WET,SALAPI,Crushed ,0.1144,0,57640
WET,SALAPI,Crushed ,0.1144,1,117580
WET,SALAPI,Crushed ,0.1144,2.5,151900
WET,SALAPI,Crushed ,0.1144,5,181100
WET,SALAPI,Crushed ,0.1144,7.5,198400
WET,SALAPI,Crushed ,0.1144,10,213700
WET,SALAPI,Crushed ,0.1247,0,63120
WET,SALAPI,Crushed ,0.1247,1,69910
WET,SALAPI,Crushed ,0.1247,2.5,95320
WET,SALAPI,Crushed ,0.1247,5,116300
WET,SALAPI,Crushed ,0.1247,7.5,135600
WET,SALAPI,Crushed ,0.1247,10,162300
WET,SALAPI,Crushed ,0.1891,0,14100
WET,SALAPI,Crushed ,0.1891,1,76180
WET,SALAPI,Crushed ,0.1891,2.5,96030
WET,SALAPI,Crushed ,0.1891,5,107900
WET,SALAPI,Crushed ,0.1891,7.5,125700
WET,SALAPI,Crushed ,0.1891,10,142700
WET,SALAPI,Crushed ,0.1921,0,16300
WET,SALAPI,Crushed ,0.1921,1,27480
WET,SALAPI,Crushed ,0.1921,2.5,68390
WET,SALAPI,Crushed ,0.1921,5,92580
WET,SALAPI,Crushed ,0.1921,7.5,115300
WET,SALAPI,Crushed ,0.1921,10,154300
WET,SALAPI,Crushed ,0.3066,0,105900
WET,SALAPI,Crushed ,0.3066,1,171800
WET,SALAPI,Crushed ,0.3066,2.5,194600
WET,SALAPI,Crushed ,0.3066,5,213700
WET,SALAPI,Crushed ,0.3066,7.5,234600
WET,SALAPI,Crushed ,0.3066,10,256100
WET,CEAGRI,Control ,0.1311,0,0
WET,CEAGRI,Control ,0.1311,1,0
WET,CEAGRI,Control ,0.1311,2.5,0
WET,CEAGRI,Control ,0.1311,5,0
WET,CEAGRI,Control ,0.1311,7.5,0
WET,CEAGRI,Control ,0.1311,10,0
WET,CEAGRI,Control ,0.3283,0,0
WET,CEAGRI,Control ,0.3283,1,12
WET,CEAGRI,Control ,0.3283,2.5,99
WET,CEAGRI,Control ,0.3283,5,74
WET,CEAGRI,Control ,0.3283,7.5,84
WET,CEAGRI,Control ,0.3283,10,96
WET,CEAGRI,Control ,0.14,0,0
WET,CEAGRI,Control ,0.14,1,0
WET,CEAGRI,Control ,0.14,2.5,0
WET,CEAGRI,Control ,0.14,5,0
WET,CEAGRI,Control ,0.14,7.5,0
WET,CEAGRI,Control ,0.14,10,0
WET,CEAGRI,Control ,0.1926,0,0
WET,CEAGRI,Control ,0.1926,1,5
WET,CEAGRI,Control ,0.1926,2.5,4
WET,CEAGRI,Control ,0.1926,5,17
WET,CEAGRI,Control ,0.1926,7.5,35
WET,CEAGRI,Control ,0.1926,10,41
WET,CEAGRI,Control ,0.0664,0,0
WET,CEAGRI,Control ,0.0664,1,41
WET,CEAGRI,Control ,0.0664,2.5,43
WET,CEAGRI,Control ,0.0664,5,47
WET,CEAGRI,Control ,0.0664,7.5,42
WET,CEAGRI,Control ,0.0664,10,37
WET,CEAGRI,Crushed ,0.1089,0,247
WET,CEAGRI,Crushed ,0.1089,1,617
WET,CEAGRI,Crushed ,0.1089,2.5,631
WET,CEAGRI,Crushed ,0.1089,5,567
WET,CEAGRI,Crushed ,0.1089,7.5,548
WET,CEAGRI,Crushed ,0.1089,10,526
