cup_number,mass,mass_post_drying
1,6.212,6.212
2,12.244,12.238
3,12.113,12.098
4,12.041,12.029
5,12.066,12.058
6,12.063,12.056
7,12.176,12.168
8,12.111,12.112
9,12.215,12.207
10,12.163,12.159
11,12.197,12.182
12,12.329,12.325
13,12.157,12.148
14,12.217,12.21
15,12.204,12.189
16,12.101,12.091
17,12.076,12.064
18,12.197,12.193
19,12.127,12.123
20,12.086,12.078
21,12.141,12.132
22,12.225,12.222
23,12.141,12.129
24,12.209,12.195
25,12.179,12.172
26,12.151,12.149
27,12.029,12.018
28,12.042,12.042
29,12.277,12.274
30,12.154,12.143
31,12.232,12.153
32,42.497,42.463
33,42.831,42.777
34,42.844,42.809
35,42.876,42.836
36,7.794,7.788
37,6.182,6.175
38,7.848,7.843
39,7.306,7.303
40,7.246,7.243
41,7.288,7.284
42,7.152,7.148
43,12.239,12.218
44,12.348,12.323
45,12.313,12.302
46,12.134,12.113
47,12.238,12.222
48,12.223,12.206
49,12.091,12.077
50,12.084,12.068
51,12.207,12.193
52,12.243,12.215
53,12.147,12.129
54,12.105,12.102
55,12.149,12.134
56,12.022,12.043
57,12.121,12.1
58,12.119,12.12
59,12.117,12.101
60,12.153,12.136
61,12.241,12.218
62,12.143,12.132
63,12.1,12.088
64,12.139,12.131
65,12.115,12.095
66,11.996,11.982
67,12.13,12.119
68,12.151,12.138
69,12.263,12.254
70,12.159,12.147
71,12.16,12.151
72,12.116,12.099
73,12.21,12.199
74,12.225,12.206
75,12.212,12.195
76,12.171,12.155
77,12.253,12.252
78,7.262,7.256
79,7.235,7.231
80,6.174,6.153
81,7.242,7.235
82,42.458,42.419
